# CU Boulder AED Inventory State File
# Generated:,2025-06-07T04:31:48.203Z

# GLOBAL_SETTINGS
MAX_CLUSTER_TIME,240
AVAILABLE_WORKERS,10
TIME_PER_AED,5
AED_LOCATION_BUFFER,8
TIME_PER_50K_GSF,1
WALKING_SPEED_MPH,3.1
DRIVING_SPEED_MPH,25
WALKING_THRESHOLD,20
PARKING_TIME,3

# BUILDING_DATA
code,name,gsf,aedCount,lat,lon,aedLocationBuffer,address
ECGBC,EAST CAMPUS GROUNDS BUILDING C (ECGBC),294,1,40.0134224,-105.268185,,3300 MARINE ST BOULDER CO 80303
ECGBD,EAST CAMPUS GROUNDS BUILDING D (ECGBD),294,1,40.0134224,-105.268185,,3300 MARINE ST BOULDER CO 80303
ECME,ENGINEERING MECHANICAL WING (ECME),51762,3,40.007641832615775,-105.2635744214058,,1111 ENGINEERING DR BOULDER CO 80309
ECNT,ENGINEERING NORTH TOWER (ECNT),18156,1,40.00775482789607,-105.26309430599213,,1111 ENGINEERING DR BOULDER CO 80309
ECNW,ENGINEERING CENTER NORTH WING (ECNW),40692,1,40.00790685761443,-105.26326864957812,,1111 ENGINEERING DR BOULDER CO 80309
ECON,ECONOMICS BUILDING (ECON),29605,1,40.0078293,-105.2745386,,1445 CENTRAL CAMPUS MALL BOULDER CO 80309
ECOT,ENGINEERING OFFICE TOWER (ECOT),90249,1,40.007294627766015,-105.26327401399614,,1111 ENGINEERING DR BOULDER CO 80309
ECPDC,EAST CAMPUS POWER DISTRIBUTION CENTER (ECPDC),1491,1,40.0020128,-105.2503318,,1360 33RD ST BOULDER CO 80303
ECSL,ENGINEERING STORES & LABS (ECSL),12274,1,40.00665157506657,-105.2626195549965,,1111 ENGINEERING DR BOULDER CO 80309
ECST,ENGINEERING SOUTH TOWER (ECST),16906,1,40.00677895339868,-105.26315063238145,,1111 ENGINEERING DR BOULDER CO 80309
EDEP,EAST DISTRICT ENERGY PLANT (EDEP),56546,1,40.0080075,-105.2613821,,980 REGENT DR BOULDER CO 80309
EHSC,ENVIRONMENTAL HEALTH & SAFETY (EHSC),22270,1,40.0060909,-105.2597975,,1000 REGENT DR BOULDER CO 80309
EKLC,EKELEY SCIENCES BUILDING (EKLC),133996,1,40.0080917,-105.2718007,,1601 CENTRAL CAMPUS MALL BOULDER CO 80309
ELSH,ELECTRIC SHOP (ELSH),232,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
EMGBA,EAST MAIN GROUNDS BUILDING A (EMGBA),295,1,40.005459959803,-105.25965571403505,,950 REGENT DR BOULDER CO 80309
EMGBB,EAST MAIN GROUNDS BUILDING B (EMGBB),294,1,40.00531408822973,-105.25970667600633,,950 REGENT DR BOULDER CO 80309
ENVD,ENVIRONMENTAL DESIGN BUILDING (ENVD),60412,1,40.0070803,-105.2692347,,1060 18TH ST BOULDER CO 80309
EVNT,CU EVENTS CENTER (EVNT),194226,2,40.00469156237856,-105.26063203811647,,950 REGENT DR BOULDER CO 80309
FBST,FOLSOM BIKE STATION (FBST),347,1,40.0066732,-105.2641261,,COCKERELL DR BOULDER CO 80309
FH,BALCH FIELDHOUSE COMPLEX (FH),69161,3,40.0094473,-105.2679315,,1995 COLORADO AVE BOULDER CO 80309
FHPB,BALCH FIELDHOUSE PRESSBOX (FHPB),20247,1,40.0083351,-105.2675242,,2005 COLORADO AVE BOULDER CO 80309
FIRE,FIRE SPRINKLER BUILDING (FIRE),62,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
FISK,FISKE PLANETARIUM & SCIENCE CENTER (FISK),16768,1,40.0035966,-105.2635366,,2414 REGENT DR BOULDER CO 80309
FLYC,FLYCATCHER (FLYC),124,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
FNCH,FINCH (FNCH),126,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
FRND,FARRAND HALL (FRND),132552,3,40.0060079,-105.2657898,,2200 BAKER DR BOULDER CO 80309
FS1,FACULTY STAFF COURT 1 (FS1),3574,1,40.0122975,-105.2710499,,1245 19TH ST BOULDER CO 80309
FS2,FACULTY STAFF COURT 2 (FS2),3574,1,40.0123113,-105.2719902,,1250 18TH ST BOULDER CO 80309
FS4,FACULTY STAFF COURT 4 (FS4),3574,1,40.0123005,-105.2704127,,1255 19TH ST BOULDER CO 80309
FS8,FACULTY STAFF COURT 8 (FS8),3574,1,40.0121216,-105.270589,,1850 ATHENS ST BOULDER CO 80309
FS9,FACULTY STAFF COURT 9 (FS9),3566,1,40.0125383,-105.2707551,,1860 ATHENS ST BOULDER CO 80309
GASR,GAS REGULATOR BUILDING (GASR),918,1,40.007952055573526,-105.25845408439638,,2750 COLORADO AVE4 BOULDER CO 80309
GCOT,THE GRANDVIEW COTTAGE (GCOT),3886,3,40.0113142,-105.2754723,,1320 GRANDVIEW AVE BOULDER CO 80302
GH-1,GREENHOUSE NO 1 AT MACKY (GH-1),3299,3,40.0101459,-105.2719093,,1275 MACKY DR BOULDER CO 80309
GH-3,RESEARCH PARK GREENHOUSE (GH-3),10324,3,40.0080771,-105.2534023,,1380 30TH ST BOULDER CO 80303
GNHS,MOUNTAIN RESEARCH GREENHOUSE (GNHS),160,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
GNSH,GENERATOR SHED (GNSH),144,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
GOLD,GOLD BIOSCIENCES BUILDING (GOLD),132267,1,40.008615,-105.2682439,,1945 COLORADO AVE BOULDER CO 80309
GONG,NSO GONG BUILDING (GONG),480,1,40.01204850995074,-105.24244934320451,,4001 DISCOVERY DR BOULDER CO 80303
GRGE,GARAGE (GRGE),731,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
GROC,GROUNDS AND RECYCLING OPERATIONS CENTER (GROC),19318,1,40.00680977070136,-105.25947600603105,,1060 REGENT DR BOULDER CO 80309
GROU,GROUSE (GROU),126,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
GRSH,GARAGE SHED (GRSH),162,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
GSHK,GOSHAWK (GSHK),125,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
GSREC,GAS REGULATOR BUILDING EAST CAMPUS (GSREC),187,1,40.0079263,-105.245825,,1239 INNOVATION DRIVE BOULDER CO 80303
GUGG,GUGGENHEIM GEOGRAPHY BUILDING (GUGG),22909,1,40.0081654,-105.2742322,,1475 CENTRAL CAMPUS MALL BOULDER CO 80309
GVAS,1330/1332 GRANDVIEW (GVAS),1776,3,40.0115388,-105.2760795,,1330/1332 GRANDVIEW AVE BOULDER CO 80302
HALE,HALE SCIENCE BUILDING (HALE),41791,1,40.0091707,-105.2749619,,1350 PLEASANT ST BOULDER CO 80309
HAZM,HAZMAT SHED (HAZM),82,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
HEND,HENDERSON BUILDING (MUSEUM),31238,3,40.0068782,-105.272776,,1030 BROADWAY BOULDER CO 80309
HFOC,HOUSING & DINING SERVICES FACILITES OPERATIONS (HFOC),38581,1,40.0134141,-105.2680815,,3500 MARINE ST BOULDER CO 80303
HLET,HALLETT HALL (HLET),98234,1,40.0052036,-105.2654021,,2250 WILLARD LOOP DR BOULDER CO 80309
HLMS,HELLEMS ARTS & SCIENCES BUILDING (HLMS),117625,3,40.0073338,-105.2724139,,1550 CENTRAL CAMPUS MALL BOULDER CO 80309
HPCF,HIGH PERFORMANCE COMPUTING FACILITY (HPCF),2312,1,40.0176945,-105.247105,,1777 EXPOSITION DR BOULDER CO 80303
HSSC,HOUSING SYSTEM SERVICE CENTER (HSSC),39015,1,40.0139835,-105.2492117,,3381 MARINE ST BOULDER CO 80303
HUMM,HUMMINGBIRD (HUMM),126,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
HUMN,EATON HUMANITIES BUILDING (HUMN),61492,1,40.0091879,-105.2718253,,1610 PLEASANT ST BOULDER CO 80309
IBG,INSTITUTE FOR BEHAVIORAL GENETICS (IBG),25741,3,40.0117745,-105.2534289,,1480 30TH ST BOULDER CO 80303
IEC,INTERNATIONAL ENGLISH CENTER (IEC),13075,3,40.0061082,-105.2758697,,1030 13TH STREET BOULDER CO 80302
INFO,"COLLEGE OF MEDIA, COMMUNICATION AND INFORMATION DEPARTMENT OF INFORMATION SCIENCE (INFO)",16773,3,40.0069438,-105.2698178,,1045 18TH ST BOULDER CO 80309
IPRC,INDOOR PRACTICE FACILITY (IPRC),328098,1,40.0098604,-105.2683054,,2250 STADIUM DR BOULDER CO 80309
ITLL,DRESCHER UNDERGRADUATE ENGINEERING INTEGRATED TEACHING AND LEARNING LAB (ITLL),37115,1,40.0068585,-105.2617571,,1045 REGENT DR BOULDER CO 80309
JAY,JAY (JAY),117,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
JESS,RICHARD JESSOR BUILDING (JESS),57869,3,40.0109439,-105.2746216,,1440 15TH ST BOULDER CO 80309
JILA,JILA (JILA),160974,6,40.0072835,-105.2686634,,1900 COLORADO AVE BOULDER CO 80309
JNCO,JUNCO (JNCO),124,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
KCEN,KITTREDGE CENTRAL (KCEN),100743,3,40.00282395076601,-105.26323914527894,,2480 KITTREDGE LOOP RD BOULDER CO 80309
KCHN,KITCHEN (KCHN),402,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
KCNC,KITCHEN COOLER (KCNC),136,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
KIOW,KIOWA LAB (KIOW),2967,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
KITW,KITTREDGE WEST HALL (KITW),73810,3,40.00283216919083,-105.26436567306519,,2400 KITTREDGE LOOP RD BOULDER CO 80309
KOBL,KOELBEL BUILDING - LEEDS SCHOOL OF BUSINESS (KOBL),202086,1,40.0058135,-105.2634574,,995 REGENT DR BOULDER CO 80309
KTCH,KETCHUM ARTS & SCIENCES BUILDING (KTCH),57765,1,40.0080732,-105.2702247,,1775 CENTRAL CAMPUS MALL BOULDER CO 80309
KVCU,KVCU RADIO TOWER (KVCU),128,1,39.9613993,-105.233749,,1180 MARSHALL ROAD BOULDER CO 80305
LBB,LUCILE BERKELEY BUCHANAN BUILDING (LBB),46496,1,40.0074567,-105.2735914,,1500 CENTRAL CAMPUS MALL BOULDER CO 80309
LDAR,CIRES LIDAR FACILITY (LDAR),0,1,39.8164,-105.289,,21154 WESTGATE ROAD GOLDEN CO 80403
LESS,LESSER HOUSE (LESS),3454,1,40.0082719,-105.2626376,,2501 COLORADO AVE BOULDER CO 80309
LIBR,NORLIN LIBRARY (LIBR),337455,1,40.00879026684549,-105.2707976102829,,1157 18TH ST BOULDER CO 80309
LIBY,LIBBY HALL (LIBY),109310,1,40.0068919,-105.266373,,2115 BAKER DR BOULDER CO 80309
LITR,LITMAN RESEARCH LAB (RL1) (LITR),53923,1,40.0133195,-105.2530157,,1560 30TH ST BOULDER CO 80303
LMBR,LIMBER (LMBR),577,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
LSRL,LIFE SCIENCE RESEARCH LAB (RL4) (LSRL),11982,1,40.0117577,-105.2530809,,1520 30TH ST BOULDER CO 80303
LSTR,LASP SPACE TECHNOLOGY RESEARCH CENTER (LSTR),117377,1,40.008954620789915,-105.24782180786134,,1234 INNOVATION DR BOULDER CO 80303
MAIN,OLD MAIN (MAIN),28702,2,40.0092242,-105.2740453,,1540 PLEASANT ST BOULDER CO 80309
MARR,MARR ALPINE LABORATORY (MARR),6563,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
MATH,MATHEMATICS BUILDING (MATH),63909,1,40.0076895,-105.264576,,2300 COLORADO AVE BOULDER CO 80309
MBE,OFELIA MIRAMONTES AND LEONARD BACA EDUCATION BUILDING (MBE),127440,1,40.00197744770929,-105.26341617107393,,2445 KITTREDGE LOOP RD BOULDER CO 80309
MCFL,MOORES COLLINS FAMILY LODGE (MCFL),4447,1,39.9926,-105.5457,,818 COUNTY RD 116 NEDERLAND CO 80466
MCKY,MACKY AUDITORIUM (MCKY),89119,2,40.0099895,-105.2727641,,1595 PLEASANT ST BOULDER CO 80309
MCOL,BRUCE CURTIS BUILDING (MCOL),43409,3,40.0074894,-105.2742192,,1440 CENTRAL CAMPUS MALL BOULDER CO 80309
MCPDC,MAIN CAMPUS POWER DISTRIBUTION (MCPDC),2082,1,40.0061441138678,-105.26180952787401,,1111 ENGINEERING DR BOULDER CO 80309
